,age,c_weight,course,date,field,gender,head_count,horse_name,j_weight,jackie,odds,popu,race,race_name,rank,trainerA,trainerB,weight,year
202005010406,3,,芝1800m,2/9(日),東京,牝,16頭,アクロアイト,,,,,6R,３歳新馬,1,美浦,大竹,,2020.0
202005010406,3,,芝1800m,2/9(日),東京,牡,16頭,レヴィオーサ,,,,,6R,３歳新馬,2,栗東,友道,,2020.0
202005010406,3,,芝1800m,2/9(日),東京,牡,16頭,ラパンセソバージュ,,,,,6R,３歳新馬,3,美浦,大竹,,2020.0
202005010406,3,,芝1800m,2/9(日),東京,牡,16頭,トーホウラデン,,,,,6R,３歳新馬,4,栗東,高橋亮,,2020.0
202005010406,3,,芝1800m,2/9(日),東京,牡,16頭,マカレナダンス,,,,,6R,３歳新馬,5,美浦,鈴木伸,,2020.0
202005010406,3,,芝1800m,2/9(日),東京,牡,16頭,ロードウィリアム,,,,,6R,３歳新馬,6,美浦,高柳瑞,,2020.0
202005010406,3,,芝1800m,2/9(日),東京,牡,16頭,ペイシャフラッシュ,,,,,6R,３歳新馬,7,美浦,高橋裕,,2020.0
202005010406,3,,芝1800m,2/9(日),東京,牡,16頭,ストロマンテ,,,,,6R,３歳新馬,8,美浦,国枝,,2020.0
202005010406,3,,芝1800m,2/9(日),東京,牡,16頭,ストラテジーマップ,,,,,6R,３歳新馬,9,美浦,菊沢,,2020.0
202005010406,3,,芝1800m,2/9(日),東京,牡,16頭,コスモヒビキ,,,,,6R,３歳新馬,10,美浦,宗像,,2020.0
202005010406,3,,芝1800m,2/9(日),東京,牡,16頭,デルマダイヤモンド,,,,,6R,３歳新馬,11,美浦,戸田,,2020.0
202005010406,3,,芝1800m,2/9(日),東京,牝,16頭,ヴェルズネイ,,,,,6R,３歳新馬,12,美浦,堀,,2020.0
202005010406,3,,芝1800m,2/9(日),東京,牡,16頭,ミキノルミナス,,,,,6R,３歳新馬,13,美浦,南田,,2020.0
202005010406,3,,芝1800m,2/9(日),東京,牝,16頭,ピオニーテソーロ,,,,,6R,３歳新馬,14,美浦,金成,,2020.0
202005010406,3,,芝1800m,2/9(日),東京,牝,16頭,キッチンドリンカー,,,,,6R,３歳新馬,15,美浦,本間,,2020.0
202005010406,3,,芝1800m,2/9(日),東京,牡,16頭,モンジベロ,,,,,6R,３歳新馬,16,美浦,加藤和,,2020.0
